cylinder cad 35 quads, 0 tris, 2 n-gons
bossfillet default 53 quads, 0 tris, 3 n-gons
ribbon cad 118 quads, 0 tris, 0 n-gons
ribbon default 14 quads, 0 tris, 0 n-gons
ribbonnotch cad 114 quads, 24 tris, 0 n-gons
ribbonnotch default 6 quads, 542 tris, 6 n-gons
filletslot cad 20 quads, 0 tris, 4 n-gons
filletslot default 20 quads, 0 tris, 4 n-gons
hairline cad 92 quads, 0 tris, 3 n-gons
hairline default 53 quads, 0 tris, 3 n-gons
slitdrill cad 90 quads, 214 tris, 7 n-gons
slitdrill default 66 quads, 102 tris, 15 n-gons
compound2 cad 34 quads, 0 tris, 2 n-gons
compound2 default 22 quads, 0 tris, 2 n-gons
demo cad 471 quads, 47 tris, 35 n-gons
demo default 400 quads, 102 tris, 48 n-gons
torture cad 471 quads, 47 tris, 35 n-gons
torture default 400 quads, 102 tris, 48 n-gons
open_shell cad 1 quads, 0 tris, 0 n-gons
open_shell default 1 quads, 0 tris, 0 n-gons
dirty_gap cad 2 quads, 0 tris, 0 n-gons
dirty_gap default 2 quads, 0 tris, 0 n-gons
gap_lo cad 1 quads, 0 tris, 0 n-gons
gap_lo default 1 quads, 0 tris, 0 n-gons
gap_at cad 1 quads, 0 tris, 0 n-gons
gap_at default 1 quads, 0 tris, 0 n-gons
sliver cad 1 quads, 0 tris, 0 n-gons
sliver default 1 quads, 0 tris, 0 n-gons
near_dup cad 1 quads, 0 tris, 0 n-gons
near_dup default 1 quads, 0 tris, 0 n-gons
rev_orient cad 6 quads, 0 tris, 0 n-gons
rev_orient default 6 quads, 0 tris, 0 n-gons
dup_trim cad 0 quads, 0 tris, 1 n-gons
dup_trim default 0 quads, 0 tris, 1 n-gons
bowtie cad 0 quads, 2 tris, 0 n-gons
bowtie default 0 quads, 2 tris, 0 n-gons
tan_slit cad 42 quads, 164 tris, 0 n-gons
tan_slit default 20 quads, 104 tris, 0 n-gons
seam_cut cad 3 quads, 350 tris, 4 n-gons
seam_cut default 3 quads, 532 tris, 4 n-gons
hi_aspect cad 0 quads, 0 tris, 1 n-gons
hi_aspect default 0 quads, 0 tris, 1 n-gons
tiny_big cad 10 quads, 0 tris, 4 n-gons
tiny_big default 20 quads, 0 tris, 4 n-gons
flaregun cad 4930 quads, 46 tris, 142 n-gons
flaregun default 4283 quads, 967 tris, 170 n-gons
iso14649-demo cad 594 quads, 2 tris, 75 n-gons
iso14649-demo default 593 quads, 2 tris, 75 n-gons
foam cad 5070 quads, 699 tris, 303 n-gons
foam default 3332 quads, 1110 tris, 312 n-gons
teleporter cad 6996 quads, 2764 tris, 404 n-gons
teleporter default 3607 quads, 4852 tris, 434 n-gons
foam_wt_open_nm cad 5070 quads, 699 tris, 303 n-gons
foam_wt_open_nm default 3332 quads, 1110 tris, 312 n-gons
teleporter_wt_open cad 6996 quads, 2764 tris, 404 n-gons
teleporter_wt_open default 3607 quads, 4852 tris, 434 n-gons
foam_plane_fillet_bspline cad 60 quads, 2 tris, 9 n-gons
foam_plane_fillet_bspline default 32 quads, 2 tris, 9 n-gons
foam_fillet_bspline cad 88 quads, 6 tris, 5 n-gons
foam_fillet_bspline default 48 quads, 5 tris, 1 n-gons
teleporter_planar_ngon cad 87 quads, 0 tris, 10 n-gons
teleporter_planar_ngon default 51 quads, 0 tris, 10 n-gons
